	Tput(Mbps)	config
277839	1158.608	mmWave-Drive
278452	1151.812	mmWave-Drive
279061	1153.372	mmWave-Drive
279672	1153.744	mmWave-Drive
280281	1061.937	mmWave-Drive
280846	1098.725	mmWave-Drive
281479	1199.287	mmWave-Drive
282072	1155.257	mmWave-Drive
282682	1043.281	mmWave-Drive
283223	1159.35	mmWave-Drive
283840	1085.771	mmWave-Drive
284434	1146.181	mmWave-Drive
285045	1148.634	mmWave-Drive
285661	1149.705	mmWave-Drive
286303	1195.759	mmWave-Drive
286904	1096.518	mmWave-Drive
287522	1208.451	mmWave-Drive
288107	1083.096	mmWave-Drive
288703	1125.115	mmWave-Drive
289327	1214.494	mmWave-Drive
289952	1155.698	mmWave-Drive
290546	1156.668	mmWave-Drive
291175	1151.124	mmWave-Drive
291780	1087.062	mmWave-Drive
292381	1212.945	mmWave-Drive
293008	1081.849	mmWave-Drive
293594	1154.262	mmWave-Drive
294197	1157.911	mmWave-Drive
294813	1156.582	mmWave-Drive
295431	1216.045	mmWave-Drive
296050	1151.863	mmWave-Drive
296660	1152.839	mmWave-Drive
297271	1153.989	mmWave-Drive
297886	1086.179	mmWave-Drive
298470	1089.818	mmWave-Drive
299055	1219.956	mmWave-Drive
299682	1145.152	mmWave-Drive
300290	1147.857	mmWave-Drive
300907	1078.324	mmWave-Drive
301497	1191.999	mmWave-Drive
302120	1157.166	mmWave-Drive
302721	1132.76	mmWave-Drive
303331	1157.541	mmWave-Drive
303948	1155.035	mmWave-Drive
304558	1154.35	mmWave-Drive
305168	1103.257	mmWave-Drive
305786	1211.623	mmWave-Drive
306382	1170.596	mmWave-Drive
306991	1084.582	mmWave-Drive
307589	1198.64	mmWave-Drive
308223	1097.154	mmWave-Drive
308842	1221.068	mmWave-Drive
309443	1100.681	mmWave-Drive
310061	1217.19	mmWave-Drive
310654	1096.601	mmWave-Drive
311280	1097.138	mmWave-Drive
311832	1148.659	mmWave-Drive
312430	1142.957	mmWave-Drive
313036	1113.318	mmWave-Drive
313623	1038.797	mmWave-Drive
314192	1184.346	mmWave-Drive
314818	1089.378	mmWave-Drive
315444	1216.322	mmWave-Drive
316039	1155.098	mmWave-Drive
316643	1161.995	mmWave-Drive
317256	1141.287	mmWave-Drive
317873	1151.788	mmWave-Drive
318492	1176.722	mmWave-Drive
319085	1152.559	mmWave-Drive
319693	1166.058	mmWave-Drive
320320	1173.938	mmWave-Drive
320922	1160.82	mmWave-Drive
321540	1094.978	mmWave-Drive
322124	1217.176	mmWave-Drive
322752	1097.329	mmWave-Drive
323341	1242.459	mmWave-Drive
323970	1155.129	mmWave-Drive
324588	1149.741	mmWave-Drive
325190	1163.995	mmWave-Drive
325807	1151.859	mmWave-Drive
326416	1158.355	mmWave-Drive
327017	1151.48	mmWave-Drive
327636	1098.697	mmWave-Drive
328220	1221.326	mmWave-Drive
328856	1140.91	mmWave-Drive
329465	1151.798	mmWave-Drive
330074	1151.945	mmWave-Drive
330692	1156.963	mmWave-Drive
331295	1154.939	mmWave-Drive
331911	1158.96	mmWave-Drive
332513	1160.01	mmWave-Drive
333139	1161.057	mmWave-Drive
333740	1140.337	mmWave-Drive
334358	1157.631	mmWave-Drive
334959	1153.963	mmWave-Drive
335577	1165.289	mmWave-Drive
336187	1118.806	mmWave-Drive
336804	1217.519	mmWave-Drive
337400	1099.764	mmWave-Drive
337997	1230.56	mmWave-Drive
338620	1083.141	mmWave-Drive
339243	1208.465	mmWave-Drive
339837	1062.481	mmWave-Drive
340437	1227.716	mmWave-Drive
341064	1161.579	mmWave-Drive
341672	1158.497	mmWave-Drive
342279	1152.574	mmWave-Drive
342901	1142.424	mmWave-Drive
343500	1152.452	mmWave-Drive
344110	1151.404	mmWave-Drive
344729	1099.564	mmWave-Drive
345319	1159.752	mmWave-Drive
345932	1149.026	mmWave-Drive
346541	1210.386	mmWave-Drive
347164	1082.068	mmWave-Drive
347750	1218.394	mmWave-Drive
348387	1158.819	mmWave-Drive
348996	1148.196	mmWave-Drive
349606	1161.15	mmWave-Drive
350214	1131.605	mmWave-Drive
350835	1159.926	mmWave-Drive
351434	1143.628	mmWave-Drive
352044	1151.08	mmWave-Drive
352661	1159.357	mmWave-Drive
353272	1157.958	mmWave-Drive
353889	1175.848	mmWave-Drive
354491	1161.151	mmWave-Drive
355101	1149.863	mmWave-Drive
355711	1148.681	mmWave-Drive
356327	1163.697	mmWave-Drive
356922	1087.721	mmWave-Drive
357531	1154.039	mmWave-Drive
358109	1168.43	mmWave-Drive
358750	1211.558	mmWave-Drive
359376	1082.672	mmWave-Drive
359968	1206.2	mmWave-Drive
360595	1150.779	mmWave-Drive
361212	1141.63	mmWave-Drive
361814	1156.601	mmWave-Drive
362432	1158.517	mmWave-Drive
363036	1082.776	mmWave-Drive
363642	1228.903	mmWave-Drive
364260	1143.653	mmWave-Drive
364861	1155.882	mmWave-Drive
365473	1167.725	mmWave-Drive
366089	1154.975	mmWave-Drive
366699	1110.129	mmWave-Drive
367325	1204.858	mmWave-Drive
367918	1165.449	mmWave-Drive
368544	1158.041	mmWave-Drive
369139	1080.026	mmWave-Drive
369730	1212.84	mmWave-Drive
370357	1083.296	mmWave-Drive
370947	1198.761	mmWave-Drive
371569	1144.928	mmWave-Drive
372193	1150.24	mmWave-Drive
372795	1146.709	mmWave-Drive
373405	1141.197	mmWave-Drive
374000	1153.555	mmWave-Drive
374610	1143.892	mmWave-Drive
375218	1137.884	mmWave-Drive
375843	1147.879	mmWave-Drive
376440	1142.432	mmWave-Drive
377053	1144.298	mmWave-Drive
377664	1144.23	mmWave-Drive
378274	1146.982	mmWave-Drive
378877	1160.676	mmWave-Drive
379501	1095.151	mmWave-Drive
380083	1229.631	mmWave-Drive
380712	1148.481	mmWave-Drive
381322	1102.365	mmWave-Drive
381948	1216.518	mmWave-Drive
382541	1079.902	mmWave-Drive
383134	1205.482	mmWave-Drive
383754	1158.182	mmWave-Drive
384378	1153.49	mmWave-Drive
384980	1147.14	mmWave-Drive
385597	1150.367	mmWave-Drive
386183	1083.017	mmWave-Drive
386787	1223.131	mmWave-Drive
387412	1153.957	mmWave-Drive
388036	1168.131	mmWave-Drive
388637	1158.356	mmWave-Drive
389247	1168.639	mmWave-Drive
389857	1090.333	mmWave-Drive
390442	1159.806	mmWave-Drive
391060	1213.033	mmWave-Drive
391678	1160.504	mmWave-Drive
392303	1100.346	mmWave-Drive
392890	1146.814	mmWave-Drive
393504	1229.435	mmWave-Drive
394116	1154.828	mmWave-Drive
394736	1095.255	mmWave-Drive
395367	1217.338	mmWave-Drive
395969	1088.278	mmWave-Drive
396555	1223.066	mmWave-Drive
397181	1155.321	mmWave-Drive
397790	1160.331	mmWave-Drive
398408	1160.338	mmWave-Drive
399016	1085.993	mmWave-Drive
399539	1146.114	mmWave-Drive
400218	1207.377	mmWave-Drive
400840	1075.636	mmWave-Drive
401432	1219.697	mmWave-Drive
402066	1093.578	mmWave-Drive
402663	1224.174	mmWave-Drive
403286	1154.681	mmWave-Drive
403901	1177.14	mmWave-Drive
404507	1153.44	mmWave-Drive
405120	1169.152	mmWave-Drive
405731	1151.404	mmWave-Drive
406331	1152.706	mmWave-Drive
406950	1165.908	mmWave-Drive
407545	1174.291	mmWave-Drive
408169	1120.43	mmWave-Drive
408795	1223.065	mmWave-Drive
409390	1081.395	mmWave-Drive
409996	1148.577	mmWave-Drive
410591	1173.947	mmWave-Drive
411209	1222.417	mmWave-Drive
411835	1095.917	mmWave-Drive
412427	1221.727	mmWave-Drive
413046	1084.957	mmWave-Drive
413647	1219.759	mmWave-Drive
414275	1166.394	mmWave-Drive
414890	1158.245	mmWave-Drive
