	Tput(Mbps)	config
458999	320.0	mmWave-Walk
459000	174.0	mmWave-Walk
459001	238.0	mmWave-Walk
459002	363.0	mmWave-Walk
459003	136.0	mmWave-Walk
459004	364.0	mmWave-Walk
459005	153.0	mmWave-Walk
464453	1790.0	mmWave-Walk
464454	67.3	mmWave-Walk
464455	356.0	mmWave-Walk
464456	232.0	mmWave-Walk
464457	312.0	mmWave-Walk
464458	459.0	mmWave-Walk
464459	179.0	mmWave-Walk
464460	450.0	mmWave-Walk
464461	188.0	mmWave-Walk
470028	2240.0	mmWave-Walk
470035	89.7	mmWave-Walk
470048	392.0	mmWave-Walk
470063	256.0	mmWave-Walk
470064	349.0	mmWave-Walk
470065	507.0	mmWave-Walk
470068	196.0	mmWave-Walk
470073	499.0	mmWave-Walk
470090	214.0	mmWave-Walk
475064	2500.0	mmWave-Walk
475065	96.6	mmWave-Walk
475066	307.0	mmWave-Walk
475067	264.0	mmWave-Walk
475068	331.0	mmWave-Walk
475069	466.0	mmWave-Walk
475070	189.0	mmWave-Walk
475071	451.0	mmWave-Walk
475072	213.0	mmWave-Walk
480993	2320.0	mmWave-Walk
481019	91.4	mmWave-Walk
481020	329.0	mmWave-Walk
481027	313.0	mmWave-Walk
481028	391.0	mmWave-Walk
481050	202.0	mmWave-Walk
481079	225.0	mmWave-Walk
481080	536.0	mmWave-Walk
481081	237.0	mmWave-Walk
486576	2329.99987	mmWave-Walk
486606	79.5	mmWave-Walk
486629	180.0	mmWave-Walk
486633	241.0	mmWave-Walk
486651	318.0	mmWave-Walk
486658	137.0	mmWave-Walk
486688	174.0	mmWave-Walk
486689	445.0	mmWave-Walk
486706	201.0	mmWave-Walk
492144	1780.0	mmWave-Walk
492168	83.7	mmWave-Walk
492169	196.0	mmWave-Walk
492198	259.0	mmWave-Walk
492199	313.0	mmWave-Walk
492204	183.0	mmWave-Walk
492210	171.0	mmWave-Walk
492229	268.0	mmWave-Walk
492239	195.0	mmWave-Walk
495397	1670.0	mmWave-Walk
495405	49.6	mmWave-Walk
495409	147.0	mmWave-Walk
495414	188.0	mmWave-Walk
495416	235.0	mmWave-Walk
495440	116.0	mmWave-Walk
495441	138.0	mmWave-Walk
495442	147.0	mmWave-Walk
495443	141.0	mmWave-Walk
501006	1160.0	mmWave-Walk
501007	87.8	mmWave-Walk
501008	268.0	mmWave-Walk
501009	367.0	mmWave-Walk
501010	429.0	mmWave-Walk
501012	201.0	mmWave-Walk
501013	235.0	mmWave-Walk
501014	310.0	mmWave-Walk
501015	249.0	mmWave-Walk
506493	2150.00013	mmWave-Walk
506494	77.7	mmWave-Walk
506495	245.0	mmWave-Walk
506496	333.0	mmWave-Walk
506497	399.0	mmWave-Walk
506498	181.0	mmWave-Walk
506499	214.0	mmWave-Walk
506500	320.0	mmWave-Walk
506501	228.0	mmWave-Walk
512027	2000.0	mmWave-Walk
512046	78.9	mmWave-Walk
512084	239.0	mmWave-Walk
512104	355.0	mmWave-Walk
512112	405.0	mmWave-Walk
512118	178.0	mmWave-Walk
512330	219.0	mmWave-Walk
512331	351.0	mmWave-Walk
512332	226.0	mmWave-Walk
517492	2050.0	mmWave-Walk
517493	77.6	mmWave-Walk
517494	222.0	mmWave-Walk
517495	354.0	mmWave-Walk
517496	405.0	mmWave-Walk
517579	176.0	mmWave-Walk
517580	223.0	mmWave-Walk
517581	332.0	mmWave-Walk
517582	219.0	mmWave-Walk
522993	2010.0	mmWave-Walk
522994	84.1	mmWave-Walk
