	Tput(Mbps)	config
80109	874.404	Mid-band-Drive
80264	851.057	Mid-band-Drive
80426	897.893	Mid-band-Drive
80582	811.835	Mid-band-Drive
80756	982.742	Mid-band-Drive
80910	876.693	Mid-band-Drive
81072	933.766	Mid-band-Drive
81228	684.586	Mid-band-Drive
81402	663.654	Mid-band-Drive
81552	640.222	Mid-band-Drive
81725	809.391	Mid-band-Drive
81886	868.669	Mid-band-Drive
82048	886.971	Mid-band-Drive
82208	963.883	Mid-band-Drive
82371	888.458	Mid-band-Drive
82533	780.97	Mid-band-Drive
82687	721.537	Mid-band-Drive
82847	776.807	Mid-band-Drive
83011	677.701	Mid-band-Drive
83159	603.833	Mid-band-Drive
83299	686.977	Mid-band-Drive
83437	672.176	Mid-band-Drive
83586	728.534	Mid-band-Drive
83741	793.552	Mid-band-Drive
83879	672.714	Mid-band-Drive
84032	489.808	Mid-band-Drive
84108	83.806	Mid-band-Drive
84187	582.584	Mid-band-Drive
84376	438.769	Mid-band-Drive
84449	868.156	Mid-band-Drive
84620	857.666	Mid-band-Drive
84770	844.973	Mid-band-Drive
84939	895.872	Mid-band-Drive
85107	753.849	Mid-band-Drive
85263	895.98	Mid-band-Drive
85412	748.534	Mid-band-Drive
85572	712.08	Mid-band-Drive
85729	676.457	Mid-band-Drive
85909	777.323	Mid-band-Drive
86053	856.535	Mid-band-Drive
86220	777.555	Mid-band-Drive
86373	870.214	Mid-band-Drive
86543	684.961	Mid-band-Drive
86717	839.211	Mid-band-Drive
86867	861.166	Mid-band-Drive
87018	788.651	Mid-band-Drive
87190	765.52	Mid-band-Drive
87346	754.803	Mid-band-Drive
87525	691.239	Mid-band-Drive
87669	609.385	Mid-band-Drive
87829	455.064	Mid-band-Drive
87992	362.301	Mid-band-Drive
88160	463.687	Mid-band-Drive
88317	607.215	Mid-band-Drive
88483	540.387	Mid-band-Drive
88657	774.636	Mid-band-Drive
88800	594.8	Mid-band-Drive
88962	450.585	Mid-band-Drive
89142	577.449	Mid-band-Drive
89283	460.283	Mid-band-Drive
89453	433.79	Mid-band-Drive
89605	610.298	Mid-band-Drive
89774	677.501	Mid-band-Drive
89947	770.926	Mid-band-Drive
90095	568.728	Mid-band-Drive
90250	739.361	Mid-band-Drive
90419	684.668	Mid-band-Drive
90569	771.145	Mid-band-Drive
90742	748.729	Mid-band-Drive
90915	794.32	Mid-band-Drive
91059	655.191	Mid-band-Drive
91227	487.199	Mid-band-Drive
91382	611.933	Mid-band-Drive
91550	524.597	Mid-band-Drive
91724	589.944	Mid-band-Drive
91873	512.707	Mid-band-Drive
92028	525.917	Mid-band-Drive
92190	376.522	Mid-band-Drive
92319	411.259	Mid-band-Drive
92480	410.211	Mid-band-Drive
92629	492.73	Mid-band-Drive
92765	574.661	Mid-band-Drive
92901	547.391	Mid-band-Drive
93068	615.957	Mid-band-Drive
93205	521.214	Mid-band-Drive
93355	571.554	Mid-band-Drive
93501	552.335	Mid-band-Drive
93650	548.574	Mid-band-Drive
93789	677.765	Mid-band-Drive
93953	662.652	Mid-band-Drive
94060	603.376	Mid-band-Drive
94231	647.662	Mid-band-Drive
94373	676.121	Mid-band-Drive
94516	678.723	Mid-band-Drive
94648	564.866	Mid-band-Drive
94813	567.777	Mid-band-Drive
94967	669.821	Mid-band-Drive
95116	641.483	Mid-band-Drive
95228	493.796	Mid-band-Drive
95393	543.208	Mid-band-Drive
95548	590.506	Mid-band-Drive
95678	539.307	Mid-band-Drive
95818	360.487	Mid-band-Drive
95975	389.262	Mid-band-Drive
96129	494.459	Mid-band-Drive
96272	601.86	Mid-band-Drive
96393	582.745	Mid-band-Drive
96556	559.772	Mid-band-Drive
96699	666.309	Mid-band-Drive
96835	620.602	Mid-band-Drive
96977	551.018	Mid-band-Drive
97126	585.733	Mid-band-Drive
97262	502.753	Mid-band-Drive
97423	598.29	Mid-band-Drive
97559	632.556	Mid-band-Drive
97713	794.836	Mid-band-Drive
97852	781.916	Mid-band-Drive
97998	761.289	Mid-band-Drive
98140	733.065	Mid-band-Drive
98289	634.376	Mid-band-Drive
98443	760.33	Mid-band-Drive
98580	661.455	Mid-band-Drive
98707	629.959	Mid-band-Drive
98869	676.403	Mid-band-Drive
99012	575.798	Mid-band-Drive
99160	441.145	Mid-band-Drive
99296	454.953	Mid-band-Drive
99445	517.149	Mid-band-Drive
99593	589.435	Mid-band-Drive
99749	521.517	Mid-band-Drive
99914	566.928	Mid-band-Drive
100078	557.186	Mid-band-Drive
100234	509.334	Mid-band-Drive
100401	512.308	Mid-band-Drive
100568	510.503	Mid-band-Drive
100737	541.09	Mid-band-Drive
100886	639.232	Mid-band-Drive
101042	693.722	Mid-band-Drive
101209	663.753	Mid-band-Drive
101371	634.402	Mid-band-Drive
101533	588.98	Mid-band-Drive
101688	773.125	Mid-band-Drive
101856	616.061	Mid-band-Drive
102006	572.067	Mid-band-Drive
102173	601.905	Mid-band-Drive
102335	766.519	Mid-band-Drive
102502	585.635	Mid-band-Drive
102658	563.267	Mid-band-Drive
102825	607.416	Mid-band-Drive
102977	735.33	Mid-band-Drive
103149	620.079	Mid-band-Drive
103246	47.005	Mid-band-Drive
103333	607.508	Mid-band-Drive
103477	563.858	Mid-band-Drive
103627	183.12	Mid-band-Drive
103685	337.217	Mid-band-Drive
103858	607.188	Mid-band-Drive
103991	556.891	Mid-band-Drive
104159	465.066	Mid-band-Drive
104339	545.455	Mid-band-Drive
104502	331.175	Mid-band-Drive
104576	647.446	Mid-band-Drive
104737	450.342	Mid-band-Drive
104887	572.632	Mid-band-Drive
105030	635.593	Mid-band-Drive
105213	490.013	Mid-band-Drive
105360	604.126	Mid-band-Drive
105529	518.922	Mid-band-Drive
105651	15.855	Mid-band-Drive
105717	405.17	Mid-band-Drive
105873	475.43	Mid-band-Drive
106030	505.171	Mid-band-Drive
106194	543.212	Mid-band-Drive
106356	530.072	Mid-band-Drive
106513	444.534	Mid-band-Drive
106653	489.447	Mid-band-Drive
106802	549.331	Mid-band-Drive
106970	726.83	Mid-band-Drive
107129	494.605	Mid-band-Drive
107242	576.877	Mid-band-Drive
107364	531.597	Mid-band-Drive
107511	349.424	Mid-band-Drive
107628	398.332	Mid-band-Drive
107784	426.369	Mid-band-Drive
107939	505.046	Mid-band-Drive
108061	451.786	Mid-band-Drive
108135	401.349	Mid-band-Drive
108193	420.061	Mid-band-Drive
108317	441.142	Mid-band-Drive
108481	425.265	Mid-band-Drive
108654	435.858	Mid-band-Drive
108795	397.395	Mid-band-Drive
108982	487.94	Mid-band-Drive
109124	438.541	Mid-band-Drive
109279	431.328	Mid-band-Drive
109440	487.698	Mid-band-Drive
109620	488.996	Mid-band-Drive
109770	462.032	Mid-band-Drive
109943	362.659	Mid-band-Drive
110087	443.021	Mid-band-Drive
110261	444.506	Mid-band-Drive
110410	362.03	Mid-band-Drive
110569	347.841	Mid-band-Drive
110661	93.258	Mid-band-Drive
110782	394.128	Mid-band-Drive
110955	551.064	Mid-band-Drive
111077	740.736	Mid-band-Drive
111216	725.512	Mid-band-Drive
111363	768.08	Mid-band-Drive
111518	581.648	Mid-band-Drive
111656	555.193	Mid-band-Drive
111764	781.105	Mid-band-Drive
111930	849.912	Mid-band-Drive
112092	773.833	Mid-band-Drive
112251	774.006	Mid-band-Drive
112405	661.423	Mid-band-Drive
112548	809.954	Mid-band-Drive
112692	660.611	Mid-band-Drive
112820	700.261	Mid-band-Drive
112960	745.446	Mid-band-Drive
113084	783.032	Mid-band-Drive
113218	650.661	Mid-band-Drive
113365	611.567	Mid-band-Drive
113486	910.102	Mid-band-Drive
113629	910.32	Mid-band-Drive
113773	861.971	Mid-band-Drive
113966	895.41	Mid-band-Drive
114101	882.729	Mid-band-Drive
114275	352.114	Mid-band-Drive
114353	991.839	Mid-band-Drive
114507	1009.968	Mid-band-Drive
114657	985.017	Mid-band-Drive
114815	738.537	Mid-band-Drive
114946	591.797	Mid-band-Drive
115082	430.874	Mid-band-Drive
115174	704.549	Mid-band-Drive
115295	608.006	Mid-band-Drive
115440	764.659	Mid-band-Drive
115594	800.375	Mid-band-Drive
115738	758.818	Mid-band-Drive
115891	556.078	Mid-band-Drive
116013	847.437	Mid-band-Drive
116174	762.63	Mid-band-Drive
116314	846.546	Mid-band-Drive
116439	997.285	Mid-band-Drive
116597	862.091	Mid-band-Drive
116770	628.78	Mid-band-Drive
116906	492.066	Mid-band-Drive
116990	495.297	Mid-band-Drive
117142	706.623	Mid-band-Drive
117243	587.698	Mid-band-Drive
117371	657.172	Mid-band-Drive
117490	761.447	Mid-band-Drive
117622	221.576	Mid-band-Drive
117667	889.728	Mid-band-Drive
117816	691.367	Mid-band-Drive
117935	62.996	Mid-band-Drive
117963	309.528	Mid-band-Drive
118130	913.542	Mid-band-Drive
118267	733.422	Mid-band-Drive
118385	720.238	Mid-band-Drive
118495	547.937	Mid-band-Drive
118610	817.854	Mid-band-Drive
118745	648.981	Mid-band-Drive
118844	592.984	Mid-band-Drive
118980	919.375	Mid-band-Drive
119104	911.136	Mid-band-Drive
119264	780.31	Mid-band-Drive
119409	662.644	Mid-band-Drive
119528	881.249	Mid-band-Drive
119689	708.128	Mid-band-Drive
119798	731.277	Mid-band-Drive
119928	1094.557	Mid-band-Drive
120090	1048.631	Mid-band-Drive
120243	1002.824	Mid-band-Drive
120383	811.062	Mid-band-Drive
120519	849.083	Mid-band-Drive
120654	720.727	Mid-band-Drive
120775	1045.878	Mid-band-Drive
