EventType	clientTime(ms)	buffer_level	cls	colors	bitrate_kbps
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:06.303		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:06.404		blue	blue	
	2024-01-25 08:36:07.071	4.954		blue	3.0
	2024-01-25 08:36:08.071	3.891		blue	3.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:08.922		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:08.990		blue	blue	
	2024-01-25 08:36:09.071	6.822		blue	3.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:09.915		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:09.967		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:09.970		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:09.971		blue	blue	
	2024-01-25 08:36:10.071	9.766		blue	6.0
BUFFER_EMPTY	2024-01-25 08:36:10.407	0.0	red	red	
	2024-01-25 08:36:11.071	9.097		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:11.121		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:11.166		blue	blue	
	2024-01-25 08:36:12.071	8.035		blue	6.0
	2024-01-25 08:36:13.071	6.972		blue	6.0
	2024-01-25 08:36:14.071	6.175		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:14.807		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:14.953		blue	blue	
	2024-01-25 08:36:15.071	9.065		blue	6.0
	2024-01-25 08:36:16.071	8.05		blue	6.0
	2024-01-25 08:36:17.071	6.988		blue	6.0
	2024-01-25 08:36:18.071	6.191		blue	6.0
	2024-01-25 08:36:19.071	5.128		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:20.142		purple	blue	
	2024-01-25 08:36:20.167	4.066		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:20.292		blue	blue	
	2024-01-25 08:36:21.071	7.003		blue	6.0
	2024-01-25 08:36:22.071	6.206		blue	6.0
	2024-01-25 08:36:23.071	5.144		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:23.527		purple	blue	
	2024-01-25 08:36:24.071	4.081		blue	6.0
	2024-01-25 08:36:25.071	3.019		blue	6.0
	2024-01-25 08:36:26.071	2.222		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:26.578		blue	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:26.583		blue	blue	
