Config	tput	cqi
100	4.173	5.5
100	3.283	6.5
100	2.145	6.17
100	1.38	7.43
100	1.514	7.29
100	55.24	9.67
100	19.763	9.8
100	8.994	9.33
100	53.574	9.0
100	13.399	8.83
100	17.86	8.33
100	27.356	8.67
100	11.399	9.2
100	25.637	9.67
100	25.17	8.67
100	27.176	8.0
100	23.494	8.29
100	19.534	8.33
100	5.226	9.33
100	5.38	9.67
100	4.94	9.71
100	5.483	9.67
100	5.669	9.5
100	5.689	9.33
100	5.647	9.57
100	5.428	9.83
100	4.088	9.0
100	3.549	9.5
100	5.193	9.57
100	4.657	9.5
100	6.682	9.14
100	5.069	9.0
100	6.698	9.83
100	5.362	9.83
100	5.59	9.83
100	5.997	9.5
100	7.569	9.5
100	8.043	9.14
100	6.035	8.67
100	7.971	9.33
100	7.231	9.17
100	5.019	8.43
100	4.186	7.67
100	5.191	8.17
100	7.734	9.17
100	5.808	8.43
100	4.498	8.0
100	4.153	6.83
100	4.048	7.5
100	7.01	8.29
100	4.843	8.0
100	4.529	8.0
100	4.404	8.17
100	4.859	8.0
100	6.038	8.17
100	4.755	7.83
100	6.808	8.33
100	6.686	8.0
100	7.967	8.0
100	7.598	8.0
100	6.833	7.83
100	5.0	7.86
100	5.375	7.5
100	5.766	7.67
100	4.624	7.83
100	5.088	7.43
100	4.582	7.33
100	4.594	7.83
100	4.437	7.5
100	3.851	7.86
100	5.995	9.17
100	7.735	9.5
100	6.867	9.57
100	10.881	9.83
100	5.127	9.0
100	4.467	8.71
100	6.091	9.67
100	5.407	9.83
100	4.717	9.33
100	5.841	9.57
100	3.99	9.29
100	3.345	8.0
100	6.134	9.33
100	5.685	9.0
100	0.509	7.0
100	0.001	7.5
100	0.008	6.14
100	0.002	6.33
100	0.003	6.5
100	0.002	8.83
100	0.003	9.57
100	0.003	8.83
100	0.002	9.33
100	0.002	6.83
100	0.004	6.29
100	0.002	6.17
100	0.003	6.17
100	0.002	6.0
100	0.001	5.67
100	0.003	5.83
100	0.002	5.17
100	0.002	5.14
100	0.002	4.83
100	0.001	4.5
100	0.001	5.17
100	0.001	4.86
100	0.001	5.5
100	0.001	6.5
100	0.0	4.5
100	0.001	4.71
100	0.001	5.33
100	0.002	5.17
100	0.002	5.0
100	0.001	5.0
100	0.001	4.43
100	0.001	4.17
100	0.001	4.67
100	0.001	5.0
100	0.001	5.86
100	0.002	7.0
100	0.003	7.5
100	0.003	6.57
100	0.002	5.67
100	0.002	5.33
100	0.0	5.8
100	0.39	3.0
100	0.013	4.0
100	0.002	4.0
100	0.1	4.5
100	0.001	4.17
100	0.002	5.29
100	0.002	4.33
100	0.001	6.83
100	0.001	5.43
100	0.002	7.0
100	0.002	6.5
100	0.001	6.0
100	0.002	7.43
100	0.001	8.0
100	0.002	7.17
100	0.001	7.67
100	0.002	7.29
100	0.001	7.0
100	0.002	6.83
100	0.002	6.83
100	0.001	7.29
100	0.002	6.83
100	0.001	7.17
100	0.001	8.83
100	0.001	6.29
100	0.002	5.5
100	0.002	7.17
100	0.001	7.83
100	0.002	6.0
100	0.002	5.83
100	0.001	5.83
100	0.001	6.17
100	0.001	7.0
100	0.003	6.14
100	0.002	6.17
100	0.001	6.0
100	0.002	4.0
100	0.0	4.33
100	0.286	4.0
100	3.291	8.2
100	0.005	7.83
100	0.003	8.17
100	0.005	9.43
100	0.004	8.67
100	0.004	9.83
100	0.006	9.0
100	0.003	7.0
100	0.006	6.29
100	0.004	6.33
100	0.004	6.17
100	0.003	6.33
100	0.005	6.0
100	0.004	5.33
100	0.004	5.0
100	0.003	5.33
100	0.011	4.57
100	0.003	5.5
100	2.562	5.83
100	0.163	5.0
100	0.004	3.0
100	0.004	3.17
100	0.003	3.57
100	0.003	3.5
100	0.002	3.5
100	0.003	3.83
100	0.004	4.57
100	0.003	6.17
100	0.003	6.5
100	0.003	7.83
100	0.002	8.0
100	0.003	7.5
100	0.003	8.5
100	0.003	9.17
100	0.004	9.43
100	0.003	9.0
100	0.003	9.33
100	0.004	9.5
100	0.003	9.67
100	0.003	9.67
100	0.002	9.14
100	0.004	7.17
100	0.003	9.86
100	0.003	8.0
100	0.003	8.83
100	0.005	7.33
100	0.003	7.86
100	0.004	9.17
100	0.005	8.33
100	0.003	9.67
100	0.003	8.29
100	0.003	8.17
100	0.005	9.33
100	0.004	8.83
100	0.003	8.29
100	0.003	8.17
100	0.004	8.17
100	0.004	8.67
100	0.005	9.67
100	0.003	7.83
100	0.003	6.29
100	0.003	7.5
100	0.003	8.14
100	0.004	8.5
100	0.004	8.5
100	0.004	6.0
100	0.003	6.86
100	0.004	7.33
100	0.004	7.0
100	0.004	7.67
100	0.003	8.57
100	0.004	7.83
100	0.004	6.67
100	0.003	9.67
100	0.005	8.67
100	0.003	9.57
100	0.003	9.33
100	0.004	9.33
100	0.003	9.43
100	0.004	9.83
100	0.006	9.67
100	0.003	9.0
100	0.004	8.33
100	0.003	9.83
100	0.003	9.43
100	0.004	9.83
100	20.93	9.86
100	16.571	9.0
100	19.297	9.67
100	21.922	9.83
100	20.967	9.0
100	22.789	8.5
100	21.934	8.17
100	18.98	8.5
100	10.123	8.29
100	4.729	9.0
100	3.755	7.0
100	0.541	6.83
100	0.002	7.0
100	0.002	5.67
100	0.001	5.0
100	0.001	5.0
100	0.003	4.67
100	0.001	4.29
100	0.002	4.5
100	0.001	4.0
100	0.001	3.67
100	0.001	3.71
100	0.002	3.8
100	4.257	8.33
100	5.913	9.5
100	4.37	8.29
100	4.097	8.67
100	4.335	8.0
100	5.305	9.33
100	6.318	9.86
100	4.117	7.5
100	2.947	6.83
100	0.003	7.43
100	0.004	7.5
100	0.005	8.5
100	0.005	9.57
100	19.274	9.29
100	21.701	9.5
100	22.855	9.83
100	24.51	9.0
100	25.304	9.33
100	21.856	9.86
100	24.401	9.5
100	23.35	9.86
100	20.298	9.67
100	22.502	9.83
100	24.45	9.67
100	25.491	9.43
100	24.805	9.6
100	24.806	9.67
100	25.558	8.83
100	25.773	9.0
100	25.803	9.71
100	26.111	9.17
100	26.08	9.0
100	24.954	9.83
100	25.414	9.67
100	24.491	9.17
100	24.922	9.67
100	25.724	9.5
100	26.431	9.0
100	25.109	8.83
100	8.838	9.17
100	2.31	7.0
100	2.256	6.86
100	1.172	5.67
100	0.02	5.5
100	0.002	6.33
100	0.002	8.0
100	0.001	8.33
100	0.005	6.5
100	0.002	6.57
100	0.002	5.67
100	0.002	5.83
100	0.002	6.67
100	0.001	6.0
100	0.005	8.0
100	0.002	8.83
100	0.003	8.0
100	0.001	5.0
100	1.569	6.5
100	0.003	6.0
100	0.005	8.14
100	0.003	7.17
100	0.003	8.17
100	0.002	7.83
100	0.003	9.43
100	0.002	9.67
100	0.002	9.29
100	0.002	9.83
100	0.002	9.5
100	0.002	9.5
100	0.003	9.14
100	0.003	9.0
100	0.002	9.17
100	0.002	9.67
100	0.003	9.83
100	0.002	9.57
100	0.002	8.83
100	0.002	9.86
100	0.002	9.83
100	0.002	9.5
100	0.002	8.57
100	0.002	7.67
100	0.002	6.33
100	0.003	5.0
100	0.001	4.29
100	0.004	6.0
100	0.004	5.83
100	0.001	5.33
100	0.002	4.17
100	0.0	3.0
100	0.0	3.8
100	0.068	3.0
100	0.001	3.17
100	0.001	3.0
100	0.001	3.17
100	0.0	3.17
100	0.0	5.17
100	0.001	5.57
100	0.001	6.83
100	0.001	4.67
100	0.001	6.33
100	0.001	4.14
100	0.001	6.17
100	0.003	7.0
100	0.001	6.33
100	0.003	7.33
100	0.009	6.29
100	0.008	5.67
100	0.002	4.67
100	0.005	3.6
100	0.003	6.38
100	0.002	6.33
100	0.002	6.5
100	0.002	7.0
100	0.006	7.17
100	0.004	7.14
100	0.002	6.67
100	0.002	5.29
100	0.004	5.83
100	0.002	4.0
100	0.004	6.0
100	0.001	6.0
100	0.004	6.6
100	0.001	7.14
100	0.003	7.67
100	0.003	6.83
100	0.001	6.71
100	0.001	7.5
100	0.001	6.0
