Config	tput	cqi
100	19.691	14.83
100	22.211	15.0
100	15.1	13.43
100	14.477	13.0
100	16.179	13.0
100	20.959	14.67
100	23.971	14.86
100	26.182	15.0
100	24.966	13.83
100	24.736	14.83
100	24.228	12.43
100	24.067	15.0
100	23.301	15.0
100	22.851	13.86
100	21.121	12.5
100	23.618	14.83
100	24.936	15.0
100	23.659	14.83
100	25.419	14.43
100	25.529	14.5
100	24.375	14.43
100	26.193	15.0
100	26.164	14.83
100	23.581	12.5
100	21.336	12.57
100	17.965	14.83
100	15.635	13.83
100	16.01	14.17
100	16.318	13.71
100	17.283	13.83
100	18.375	13.33
100	19.346	14.17
100	20.668	12.86
100	20.758	12.33
100	18.033	13.17
100	14.42	12.14
100	15.283	12.17
100	16.149	12.0
100	18.941	12.67
100	20.49	14.0
100	21.55	14.83
100	17.191	14.0
100	9.95	12.83
100	12.186	12.83
100	18.153	12.83
100	21.098	13.86
100	19.248	15.0
100	12.032	12.67
100	12.286	13.5
100	16.083	14.0
100	14.031	12.83
100	15.336	13.0
100	0.003	13.33
100	0.002	13.0
100	0.003	13.17
100	0.003	13.17
100	0.002	12.43
100	0.002	13.17
100	0.002	13.67
100	0.003	13.83
100	0.002	12.43
100	0.003	12.33
100	0.002	12.5
100	11.979	12.0
100	34.53	13.0
100	29.863	12.14
100	22.999	12.17
100	25.754	12.14
100	29.35	13.0
100	22.968	12.83
100	21.51	12.83
100	26.406	12.71
100	26.76	12.0
100	31.7	12.17
100	29.365	12.86
100	30.372	12.67
100	19.52	15.0
100	21.569	15.0
100	23.822	15.0
100	24.2	15.0
100	24.03	15.0
100	23.947	15.0
100	23.506	15.0
100	23.253	15.0
100	25.224	15.0
100	24.561	15.0
100	21.799	15.0
100	23.867	15.0
100	23.407	15.0
100	23.389	15.0
100	24.111	15.0
100	23.875	15.0
100	22.387	15.0
100	24.39	15.0
100	22.467	15.0
100	24.14	15.0
100	23.56	15.0
100	22.927	15.0
100	23.33	15.0
100	23.975	15.0
100	24.564	15.0
100	25.615	15.0
100	27.657	15.0
100	26.013	15.0
100	26.779	15.0
100	27.147	15.0
100	25.016	15.0
100	24.097	15.0
100	24.159	15.0
100	23.562	15.0
100	23.973	15.0
100	24.064	15.0
100	24.09	15.0
100	23.698	15.0
100	24.258	15.0
100	21.669	15.0
100	22.928	15.0
100	24.211	15.0
100	23.569	15.0
100	25.275	15.0
100	25.736	15.0
100	25.749	15.0
100	25.692	15.0
100	24.297	15.0
100	27.387	15.0
100	26.409	15.0
100	26.606	15.0
100	26.546	15.0
100	25.342	15.0
100	27.166	15.0
100	24.64	15.0
100	26.892	15.0
100	28.339	15.0
100	28.217	15.0
100	25.754	15.0
100	27.066	15.0
100	25.014	15.0
100	24.809	15.0
100	24.581	15.0
100	24.257	15.0
100	25.7	15.0
100	25.331	15.0
100	24.348	15.0
100	24.767	15.0
100	24.222	15.0
100	23.999	15.0
100	21.56	15.0
100	20.732	15.0
100	21.096	15.0
100	18.915	15.0
100	11.946	14.57
100	13.162	14.5
100	12.872	14.0
100	10.081	12.83
100	11.251	13.33
100	9.287	13.0
100	11.828	13.5
100	9.966	12.71
100	8.969	12.33
100	10.385	14.33
100	10.483	13.17
100	12.002	13.71
100	12.224	13.5
100	14.382	14.0
100	8.368	12.0
100	9.44	12.29
100	10.408	12.67
100	9.363	12.33
100	14.645	14.14
100	17.045	14.67
100	18.452	14.67
100	19.352	13.67
100	18.179	13.71
100	17.253	14.33
100	17.484	14.33
100	18.99	14.67
100	21.723	15.0
100	20.156	14.14
100	22.687	14.0
100	19.437	15.0
100	19.334	14.0
100	16.864	12.33
100	18.088	12.14
100	19.564	14.33
100	16.004	15.0
100	19.648	12.67
100	18.171	13.86
100	25.378	12.67
100	21.724	15.0
100	16.105	13.5
100	12.548	12.17
100	24.966	12.0
100	22.847	12.0
100	24.272	12.0
100	26.587	12.0
100	20.592	12.29
100	17.816	13.17
100	17.238	12.71
100	24.916	13.17
100	25.904	15.0
100	27.876	15.0
100	26.961	15.0
100	23.215	14.83
100	16.253	14.67
100	14.206	13.67
100	13.368	13.29
100	11.987	12.33
100	11.179	12.5
100	10.781	12.17
100	10.424	12.33
100	12.005	12.17
100	13.813	12.57
100	12.065	12.33
100	12.141	12.5
100	10.779	12.0
100	13.546	12.83
100	12.199	13.0
100	12.154	12.5
100	11.01	12.29
100	14.309	13.17
100	15.885	13.17
100	16.396	12.83
100	15.177	13.0
100	13.221	13.0
100	13.781	13.0
100	12.949	12.43
100	15.382	12.5
100	13.521	12.17
100	14.636	12.67
100	11.966	12.29
100	10.571	12.17
100	10.652	12.17
100	11.686	12.33
100	12.451	12.57
100	13.294	12.5
100	11.274	12.67
100	12.28	12.71
100	11.721	12.5
100	10.082	12.33
100	11.722	12.83
100	12.705	13.0
100	14.622	13.17
100	15.948	13.0
100	18.439	13.33
100	17.653	13.14
100	14.044	12.67
100	15.944	13.0
100	17.036	13.17
100	15.712	13.0
100	14.677	13.17
100	17.366	13.5
100	18.801	13.67
100	13.506	13.14
100	9.04	13.0
100	13.547	13.17
100	14.455	14.0
100	15.173	13.71
100	19.693	13.83
100	20.397	14.0
100	19.998	14.5
100	14.897	13.29
100	18.583	13.17
100	18.304	14.5
100	17.405	13.83
100	15.995	13.29
100	12.056	12.0
100	24.016	12.83
100	44.289	13.0
100	42.931	12.83
100	41.931	12.83
100	44.028	13.33
100	40.273	14.83
100	45.009	13.83
100	41.119	12.57
100	40.717	14.67
100	42.962	13.83
100	46.919	13.5
100	47.047	13.57
100	41.975	14.17
100	44.528	15.0
100	49.482	15.0
100	48.281	14.86
100	48.46	14.67
100	46.876	13.67
100	40.248	13.83
100	40.353	14.71
100	42.16	14.83
100	41.36	14.33
100	42.759	13.17
100	42.706	13.0
100	48.651	13.67
100	21.139	12.67
100	47.944	13.33
100	47.772	12.33
100	46.492	13.17
100	45.617	12.67
100	46.392	12.17
100	44.469	12.0
100	44.376	12.17
100	43.658	12.0
100	38.716	12.14
100	34.463	12.67
100	25.318	12.5
100	34.01	13.14
100	29.049	12.0
100	13.121	12.0
100	20.937	15.0
100	22.514	15.0
100	25.909	15.0
100	25.866	15.0
100	25.43	15.0
100	23.078	15.0
100	22.188	15.0
100	22.261	15.0
100	23.461	15.0
100	24.468	15.0
100	24.23	15.0
100	25.613	15.0
100	25.622	15.0
100	26.387	15.0
100	26.078	15.0
100	24.961	15.0
100	24.82	15.0
100	23.89	15.0
100	23.985	15.0
100	23.078	15.0
100	21.413	15.0
100	16.329	15.0
100	23.191	15.0
100	24.317	15.0
100	22.906	15.0
100	20.947	15.0
100	21.04	15.0
100	23.675	15.0
100	24.82	14.17
100	24.061	15.0
100	25.251	15.0
100	24.879	12.57
100	24.943	14.0
100	24.204	13.0
100	24.555	12.0
100	24.604	12.0
100	24.73	12.17
100	24.096	12.57
100	23.678	12.17
100	26.954	13.0
100	19.306	12.0
100	12.921	12.33
100	20.569	12.33
100	20.939	12.0
100	20.345	14.0
100	20.273	15.0
100	20.246	15.0
100	13.855	14.43
100	8.789	13.33
100	9.659	14.0
100	23.924	13.29
100	24.368	13.83
100	23.7	14.83
100	12.066	12.0
100	10.462	13.86
100	16.35	12.0
100	20.919	15.0
100	21.214	13.0
100	15.302	13.71
100	12.789	13.33
100	19.985	15.0
100	24.196	15.0
100	23.842	15.0
100	23.127	15.0
100	19.814	15.0
100	23.337	15.0
100	23.604	14.71
100	23.188	15.0
100	23.362	15.0
100	23.194	15.0
100	22.696	15.0
100	22.338	15.0
100	22.335	15.0
100	23.629	15.0
100	23.009	14.86
100	15.551	15.0
100	14.731	15.0
100	8.466	14.67
100	6.285	13.5
100	5.507	13.57
100	5.272	14.0
100	5.142	14.0
100	8.413	14.29
100	6.781	14.5
100	7.109	14.0
100	5.224	12.83
100	4.847	12.83
100	5.992	13.57
100	4.813	12.0
100	6.15	13.33
100	5.526	14.17
100	9.654	13.14
100	5.501	13.17
100	5.032	12.33
100	3.718	12.67
100	3.13	12.14
100	3.727	12.0
100	7.309	13.0
100	10.601	13.43
100	6.984	14.5
100	7.101	12.83
100	6.023	12.67
100	7.439	12.29
100	7.661	13.0
100	5.339	13.67
100	7.804	14.14
100	7.144	14.33
100	9.629	14.5
100	8.453	14.33
100	6.583	14.43
100	7.635	14.33
100	5.381	13.17
100	9.039	13.67
100	9.534	14.67
100	8.076	14.0
100	10.861	14.0
100	5.501	13.83
100	7.253	13.5
100	5.365	14.0
100	7.922	14.0
100	6.41	13.17
100	6.898	13.33
100	4.394	13.43
100	3.871	13.33
100	5.311	13.0
100	4.146	12.57
100	1.997	12.17
100	2.716	12.83
100	3.327	12.67
100	1.827	12.0
100	2.784	12.14
100	5.063	12.33
100	8.072	12.33
