Config	Tput(Mbps)
O_Sp_90Mhz	56.367
O_Sp_90Mhz	58.698
O_Sp_90Mhz	59.716
O_Sp_90Mhz	68.19
O_Sp_90Mhz	74.061
O_Sp_90Mhz	70.886
O_Sp_90Mhz	77.419
O_Sp_90Mhz	72.878
O_Sp_90Mhz	73.315
O_Sp_90Mhz	72.484
O_Sp_90Mhz	69.847
O_Sp_90Mhz	76.061
O_Sp_90Mhz	77.592
O_Sp_90Mhz	74.464
O_Sp_90Mhz	71.352
O_Sp_90Mhz	73.467
O_Sp_90Mhz	65.409
O_Sp_90Mhz	54.303
O_Sp_90Mhz	55.814
O_Sp_90Mhz	57.852
O_Sp_90Mhz	60.801
O_Sp_90Mhz	58.275
O_Sp_90Mhz	50.888
O_Sp_90Mhz	53.894
O_Sp_90Mhz	48.77
O_Sp_90Mhz	54.364
O_Sp_90Mhz	56.197
O_Sp_90Mhz	54.988
O_Sp_90Mhz	51.755
O_Sp_90Mhz	56.651
O_Sp_90Mhz	57.077
O_Sp_90Mhz	51.704
O_Sp_90Mhz	57.212
O_Sp_90Mhz	58.663
O_Sp_90Mhz	56.852
O_Sp_90Mhz	54.955
O_Sp_90Mhz	53.67
O_Sp_90Mhz	55.78
O_Sp_90Mhz	56.324
O_Sp_90Mhz	54.196
O_Sp_90Mhz	57.136
O_Sp_90Mhz	54.584
O_Sp_90Mhz	64.2
O_Sp_90Mhz	66.827
O_Sp_90Mhz	66.378
O_Sp_90Mhz	56.426
O_Sp_90Mhz	56.826
O_Sp_90Mhz	62.184
O_Sp_90Mhz	49.8
O_Sp_90Mhz	51.107
O_Sp_90Mhz	58.92
O_Sp_90Mhz	55.697
O_Sp_90Mhz	55.63
O_Sp_90Mhz	57.59
O_Sp_90Mhz	58.0
O_Sp_90Mhz	55.895
O_Sp_90Mhz	61.549
O_Sp_90Mhz	66.497
O_Sp_90Mhz	71.578
O_Sp_90Mhz	80.459
O_Sp_90Mhz	63.886
O_Sp_90Mhz	53.248
O_Sp_90Mhz	51.436
O_Sp_90Mhz	56.361
O_Sp_90Mhz	50.345
O_Sp_90Mhz	48.535
O_Sp_90Mhz	58.455
O_Sp_90Mhz	49.472
O_Sp_90Mhz	61.205
O_Sp_90Mhz	63.123
O_Sp_90Mhz	57.65
O_Sp_90Mhz	61.558
O_Sp_90Mhz	57.994
O_Sp_90Mhz	61.798
O_Sp_90Mhz	65.567
O_Sp_90Mhz	71.17
O_Sp_90Mhz	72.119
O_Sp_90Mhz	72.491
O_Sp_90Mhz	68.258
O_Sp_90Mhz	63.17
O_Sp_90Mhz	63.703
O_Sp_90Mhz	69.598
O_Sp_90Mhz	65.152
O_Sp_90Mhz	55.352
O_Sp_90Mhz	52.291
O_Sp_90Mhz	56.168
O_Sp_90Mhz	49.601
O_Sp_90Mhz	52.945
O_Sp_90Mhz	51.549
O_Sp_90Mhz	49.624
O_Sp_90Mhz	51.535
O_Sp_90Mhz	50.954
O_Sp_90Mhz	54.997
O_Sp_90Mhz	54.17
O_Sp_90Mhz	54.778
O_Sp_90Mhz	57.28
O_Sp_90Mhz	51.984
O_Sp_90Mhz	56.424
O_Sp_90Mhz	50.905
O_Sp_90Mhz	57.496
O_Sp_90Mhz	62.586
O_Sp_90Mhz	67.945
O_Sp_90Mhz	70.248
O_Sp_90Mhz	71.245
O_Sp_90Mhz	72.021
O_Sp_90Mhz	62.17
O_Sp_90Mhz	60.996
O_Sp_90Mhz	72.499
O_Sp_90Mhz	75.999
O_Sp_90Mhz	75.862
O_Sp_90Mhz	69.667
O_Sp_90Mhz	80.345
O_Sp_90Mhz	73.953
O_Sp_90Mhz	61.079
O_Sp_90Mhz	53.159
O_Sp_90Mhz	54.078
O_Sp_90Mhz	54.88
O_Sp_90Mhz	62.376
O_Sp_90Mhz	59.266
O_Sp_90Mhz	53.923
O_Sp_90Mhz	53.927
O_Sp_90Mhz	74.696
O_Sp_90Mhz	93.976
O_Sp_90Mhz	88.749
O_Sp_90Mhz	88.6
O_Sp_90Mhz	87.27
O_Sp_90Mhz	95.521
O_Sp_90Mhz	90.599
O_Sp_90Mhz	83.681
O_Sp_90Mhz	77.949
O_Sp_90Mhz	72.433
O_Sp_90Mhz	69.418
O_Sp_90Mhz	60.885
O_Sp_90Mhz	61.5
O_Sp_90Mhz	60.667
O_Sp_90Mhz	60.476
O_Sp_90Mhz	67.191
O_Sp_90Mhz	70.777
O_Sp_90Mhz	67.085
O_Sp_90Mhz	67.43
O_Sp_90Mhz	61.747
O_Sp_90Mhz	62.752
O_Sp_90Mhz	48.369
O_Sp_90Mhz	65.464
O_Sp_90Mhz	56.008
O_Sp_90Mhz	60.325
O_Sp_90Mhz	55.615
O_Sp_90Mhz	57.672
O_Sp_90Mhz	60.79
O_Sp_90Mhz	64.642
O_Sp_90Mhz	67.81
O_Sp_90Mhz	66.814
O_Sp_90Mhz	62.967
O_Sp_90Mhz	62.702
O_Sp_90Mhz	59.689
O_Sp_90Mhz	48.797
O_Sp_90Mhz	54.246
O_Sp_90Mhz	52.148
O_Sp_90Mhz	52.414
O_Sp_90Mhz	53.872
O_Sp_90Mhz	56.826
O_Sp_90Mhz	55.901
O_Sp_90Mhz	56.768
O_Sp_90Mhz	66.041
O_Sp_90Mhz	65.065
O_Sp_90Mhz	73.029
O_Sp_90Mhz	62.759
O_Sp_90Mhz	65.327
O_Sp_90Mhz	69.114
O_Sp_90Mhz	67.648
O_Sp_90Mhz	71.609
O_Sp_90Mhz	62.474
O_Sp_90Mhz	68.544
O_Sp_90Mhz	75.014
O_Sp_90Mhz	63.894
O_Sp_90Mhz	67.975
O_Sp_90Mhz	68.576
O_Sp_90Mhz	63.343
O_Sp_90Mhz	70.688
O_Sp_90Mhz	71.958
O_Sp_90Mhz	77.999
O_Sp_90Mhz	76.264
O_Sp_90Mhz	77.078
