TP (Gbps)	Config
0.8508490000000001	US_Att
0.811744	US_Att
0.7991900000000001	US_Att
0.785289	US_Att
0.8468559999999999	US_Att
0.733887	US_Att
0.68352	US_Att
0.91592	US_Att
0.665852	US_Att
0.869257	US_Att
0.702234	US_Att
0.778827	US_Att
0.7036699999999999	US_Att
0.778999	US_Att
0.7462799999999999	US_Att
0.761958	US_Att
0.903362	US_Att
0.72836	US_Att
0.9781299999999999	US_Att
0.721784	US_Att
0.796626	US_Att
0.848287	US_Att
0.881629	US_Att
0.814575	US_Att
0.760688	US_Att
0.8509629999999999	US_Att
0.87183	US_Att
0.753907	US_Att
0.848544	US_Att
0.845268	US_Att
0.849973	US_Att
0.81169	US_Att
0.813683	US_Att
0.8886040000000001	US_Att
0.890439	US_Att
0.906649	US_Att
0.781831	US_Att
0.78213	US_Att
0.923239	US_Att
0.9651409999999999	US_Att
0.800648	US_Att
0.8479690000000001	US_Att
0.839992	US_Att
0.8018350000000001	US_Att
0.791201	US_Att
0.927818	US_Att
0.860236	US_Att
0.872358	US_Att
0.797563	US_Att
0.8918400000000001	US_Att
0.818373	US_Att
0.8488	US_Att
0.805034	US_Att
0.898496	US_Att
0.814096	US_Att
0.829367	US_Att
0.761441	US_Att
0.981938	US_Att
0.9055059999999999	US_Att
0.862332	US_Att
0.7796660000000001	US_Att
0.731303	US_Att
0.884049	US_Att
0.8702089999999999	US_Att
0.8600220000000001	US_Att
0.838553	US_Att
0.777515	US_Att
0.670818	US_Att
0.863214	US_Att
0.7193780000000001	US_Att
0.89616	US_Att
0.815036	US_Att
0.805969	US_Att
0.829149	US_Att
0.740722	US_Att
0.8474360000000001	US_Att
0.789442	US_Att
0.885289	US_Att
0.857834	US_Att
0.846859	US_Att
0.8260069999999999	US_Att
0.709005	US_Att
0.8600869999999999	US_Att
0.939519	US_Att
0.759674	US_Att
0.787714	US_Att
0.854139	US_Att
0.776892	US_Att
0.810952	US_Att
0.891501	US_Att
0.901245	US_Att
0.742241	US_Att
0.806485	US_Att
0.7263350000000001	US_Att
0.8069109999999999	US_Att
0.78295	US_Att
0.826284	US_Att
0.775	US_Att
0.8098909999999999	US_Att
0.728371	US_Att
0.7618469999999999	US_Att
0.797512	US_Att
0.77491	US_Att
0.726418	US_Att
0.848062	US_Att
0.8006409999999999	US_Att
0.8069379999999999	US_Att
0.790864	US_Att
0.803362	US_Att
0.8831169999999999	US_Att
0.7819579999999999	US_Att
0.710794	US_Att
