Tput(Mbps)	Config
723.955	O_Sp_100Mhz
755.328	O_Sp_100Mhz
745.305	O_Sp_100Mhz
710.182	O_Sp_100Mhz
758.054	O_Sp_100Mhz
862.202	O_Sp_100Mhz
701.95	O_Sp_100Mhz
732.895	O_Sp_100Mhz
754.197	O_Sp_100Mhz
732.685	O_Sp_100Mhz
740.411	O_Sp_100Mhz
739.943	O_Sp_100Mhz
724.75	O_Sp_100Mhz
671.578	O_Sp_100Mhz
727.875	O_Sp_100Mhz
667.54	O_Sp_100Mhz
741.885	O_Sp_100Mhz
700.843	O_Sp_100Mhz
782.909	O_Sp_100Mhz
718.886	O_Sp_100Mhz
828.881	O_Sp_100Mhz
633.337	O_Sp_100Mhz
749.512	O_Sp_100Mhz
791.135	O_Sp_100Mhz
838.08	O_Sp_100Mhz
838.457	O_Sp_100Mhz
846.602	O_Sp_100Mhz
745.423	O_Sp_100Mhz
806.874	O_Sp_100Mhz
831.348	O_Sp_100Mhz
829.014	O_Sp_100Mhz
845.987	O_Sp_100Mhz
928.136	O_Sp_100Mhz
807.943	O_Sp_100Mhz
812.309	O_Sp_100Mhz
770.626	O_Sp_100Mhz
758.846	O_Sp_100Mhz
823.103	O_Sp_100Mhz
746.275	O_Sp_100Mhz
672.935	O_Sp_100Mhz
809.825	O_Sp_100Mhz
693.332	O_Sp_100Mhz
695.994	O_Sp_100Mhz
880.745	O_Sp_100Mhz
746.448	O_Sp_100Mhz
759.99	O_Sp_100Mhz
717.889	O_Sp_100Mhz
722.132	O_Sp_100Mhz
781.898	O_Sp_100Mhz
825.516	O_Sp_100Mhz
793.831	O_Sp_100Mhz
727.392	O_Sp_100Mhz
790.895	O_Sp_100Mhz
864.514	O_Sp_100Mhz
786.46	O_Sp_100Mhz
809.988	O_Sp_100Mhz
821.054	O_Sp_100Mhz
817.518	O_Sp_100Mhz
819.383	O_Sp_100Mhz
923.236	O_Sp_100Mhz
706.346	O_Sp_100Mhz
769.85	O_Sp_100Mhz
721.782	O_Sp_100Mhz
732.314	O_Sp_100Mhz
772.057	O_Sp_100Mhz
791.182	O_Sp_100Mhz
664.771	O_Sp_100Mhz
702.059	O_Sp_100Mhz
759.365	O_Sp_100Mhz
915.041	O_Sp_100Mhz
710.473	O_Sp_100Mhz
830.069	O_Sp_100Mhz
709.101	O_Sp_100Mhz
663.03	O_Sp_100Mhz
645.783	O_Sp_100Mhz
767.891	O_Sp_100Mhz
653.656	O_Sp_100Mhz
793.303	O_Sp_100Mhz
787.168	O_Sp_100Mhz
725.019	O_Sp_100Mhz
745.308	O_Sp_100Mhz
806.364	O_Sp_100Mhz
833.664	O_Sp_100Mhz
809.662	O_Sp_100Mhz
812.607	O_Sp_100Mhz
814.621	O_Sp_100Mhz
847.883	O_Sp_100Mhz
796.363	O_Sp_100Mhz
708.939	O_Sp_100Mhz
818.475	O_Sp_100Mhz
859.872	O_Sp_100Mhz
787.935	O_Sp_100Mhz
698.669	O_Sp_100Mhz
1072.956	O_Sp_100Mhz
763.892	O_Sp_100Mhz
765.114	O_Sp_100Mhz
757.878	O_Sp_100Mhz
680.801	O_Sp_100Mhz
653.334	O_Sp_100Mhz
632.828	O_Sp_100Mhz
701.891	O_Sp_100Mhz
704.793	O_Sp_100Mhz
728.323	O_Sp_100Mhz
788.23	O_Sp_100Mhz
788.185	O_Sp_100Mhz
787.928	O_Sp_100Mhz
830.287	O_Sp_100Mhz
811.393	O_Sp_100Mhz
735.806	O_Sp_100Mhz
894.903	O_Sp_100Mhz
769.161	O_Sp_100Mhz
701.262	O_Sp_100Mhz
785.58	O_Sp_100Mhz
706.382	O_Sp_100Mhz
633.671	O_Sp_100Mhz
788.44	O_Sp_100Mhz
710.223	O_Sp_100Mhz
718.39	O_Sp_100Mhz
683.38	O_Sp_100Mhz
674.948	O_Sp_100Mhz
693.661	O_Sp_100Mhz
729.189	O_Sp_100Mhz
737.759	O_Sp_100Mhz
695.171	O_Sp_100Mhz
668.469	O_Sp_100Mhz
649.52	O_Sp_100Mhz
729.777	O_Sp_100Mhz
737.254	O_Sp_100Mhz
664.271	O_Sp_100Mhz
717.254	O_Sp_100Mhz
802.489	O_Sp_100Mhz
691.689	O_Sp_100Mhz
834.29	O_Sp_100Mhz
647.829	O_Sp_100Mhz
703.35	O_Sp_100Mhz
793.926	O_Sp_100Mhz
682.154	O_Sp_100Mhz
670.919	O_Sp_100Mhz
693.545	O_Sp_100Mhz
815.697	O_Sp_100Mhz
765.471	O_Sp_100Mhz
638.175	O_Sp_100Mhz
732.83	O_Sp_100Mhz
773.36	O_Sp_100Mhz
722.606	O_Sp_100Mhz
748.96	O_Sp_100Mhz
773.05	O_Sp_100Mhz
715.683	O_Sp_100Mhz
744.052	O_Sp_100Mhz
747.708	O_Sp_100Mhz
686.036	O_Sp_100Mhz
730.892	O_Sp_100Mhz
765.624	O_Sp_100Mhz
910.565	O_Sp_100Mhz
804.404	O_Sp_100Mhz
829.442	O_Sp_100Mhz
817.226	O_Sp_100Mhz
783.777	O_Sp_100Mhz
835.188	O_Sp_100Mhz
801.602	O_Sp_100Mhz
758.965	O_Sp_100Mhz
853.208	O_Sp_100Mhz
846.468	O_Sp_100Mhz
889.512	O_Sp_100Mhz
945.191	O_Sp_100Mhz
818.126	O_Sp_100Mhz
828.609	O_Sp_100Mhz
742.053	O_Sp_100Mhz
817.981	O_Sp_100Mhz
848.263	O_Sp_100Mhz
925.715	O_Sp_100Mhz
754.032	O_Sp_100Mhz
773.399	O_Sp_100Mhz
810.245	O_Sp_100Mhz
769.536	O_Sp_100Mhz
807.307	O_Sp_100Mhz
824.537	O_Sp_100Mhz
684.629	O_Sp_100Mhz
868.258	O_Sp_100Mhz
833.697	O_Sp_100Mhz
851.613	O_Sp_100Mhz
747.118	O_Sp_100Mhz
855.208	O_Sp_100Mhz
768.136	O_Sp_100Mhz
901.573	O_Sp_100Mhz
829.307	O_Sp_100Mhz
827.663	O_Sp_100Mhz
814.758	O_Sp_100Mhz
751.82	O_Sp_100Mhz
854.857	O_Sp_100Mhz
753.319	O_Sp_100Mhz
795.84	O_Sp_100Mhz
814.001	O_Sp_100Mhz
761.764	O_Sp_100Mhz
860.475	O_Sp_100Mhz
717.569	O_Sp_100Mhz
723.382	O_Sp_100Mhz
774.115	O_Sp_100Mhz
813.563	O_Sp_100Mhz
799.662	O_Sp_100Mhz
829.989	O_Sp_100Mhz
685.601	O_Sp_100Mhz
849.067	O_Sp_100Mhz
847.654	O_Sp_100Mhz
846.052	O_Sp_100Mhz
880.401	O_Sp_100Mhz
811.278	O_Sp_100Mhz
769.562	O_Sp_100Mhz
789.203	O_Sp_100Mhz
708.513	O_Sp_100Mhz
768.097	O_Sp_100Mhz
793.974	O_Sp_100Mhz
807.948	O_Sp_100Mhz
837.255	O_Sp_100Mhz
898.107	O_Sp_100Mhz
739.579	O_Sp_100Mhz
731.232	O_Sp_100Mhz
646.065	O_Sp_100Mhz
700.459	O_Sp_100Mhz
687.296	O_Sp_100Mhz
668.065	O_Sp_100Mhz
686.849	O_Sp_100Mhz
639.181	O_Sp_100Mhz
684.592	O_Sp_100Mhz
780.194	O_Sp_100Mhz
703.624	O_Sp_100Mhz
636.914	O_Sp_100Mhz
631.4	O_Sp_100Mhz
724.331	O_Sp_100Mhz
683.356	O_Sp_100Mhz
655.224	O_Sp_100Mhz
654.099	O_Sp_100Mhz
629.252	O_Sp_100Mhz
642.223	O_Sp_100Mhz
733.417	O_Sp_100Mhz
674.487	O_Sp_100Mhz
694.189	O_Sp_100Mhz
696.029	O_Sp_100Mhz
686.467	O_Sp_100Mhz
701.897	O_Sp_100Mhz
676.729	O_Sp_100Mhz
654.781	O_Sp_100Mhz
729.711	O_Sp_100Mhz
755.782	O_Sp_100Mhz
732.02	O_Sp_100Mhz
693.287	O_Sp_100Mhz
734.654	O_Sp_100Mhz
812.448	O_Sp_100Mhz
747.014	O_Sp_100Mhz
759.863	O_Sp_100Mhz
630.139	O_Sp_100Mhz
679.19	O_Sp_100Mhz
814.97	O_Sp_100Mhz
793.622	O_Sp_100Mhz
869.352	O_Sp_100Mhz
725.88	O_Sp_100Mhz
794.797	O_Sp_100Mhz
768.222	O_Sp_100Mhz
675.199	O_Sp_100Mhz
805.007	O_Sp_100Mhz
832.244	O_Sp_100Mhz
848.935	O_Sp_100Mhz
765.567	O_Sp_100Mhz
762.251	O_Sp_100Mhz
789.246	O_Sp_100Mhz
706.892	O_Sp_100Mhz
720.056	O_Sp_100Mhz
779.966	O_Sp_100Mhz
773.001	O_Sp_100Mhz
705.43	O_Sp_100Mhz
700.529	O_Sp_100Mhz
705.55	O_Sp_100Mhz
664.204	O_Sp_100Mhz
729.74	O_Sp_100Mhz
728.236	O_Sp_100Mhz
675.041	O_Sp_100Mhz
673.01	O_Sp_100Mhz
715.357	O_Sp_100Mhz
737.368	O_Sp_100Mhz
649.224	O_Sp_100Mhz
664.027	O_Sp_100Mhz
817.466	O_Sp_100Mhz
842.422	O_Sp_100Mhz
812.15	O_Sp_100Mhz
838.798	O_Sp_100Mhz
705.175	O_Sp_100Mhz
802.592	O_Sp_100Mhz
743.588	O_Sp_100Mhz
767.973	O_Sp_100Mhz
653.709	O_Sp_100Mhz
807.767	O_Sp_100Mhz
725.763	O_Sp_100Mhz
870.385	O_Sp_100Mhz
829.663	O_Sp_100Mhz
783.791	O_Sp_100Mhz
824.888	O_Sp_100Mhz
759.579	O_Sp_100Mhz
804.133	O_Sp_100Mhz
711.769	O_Sp_100Mhz
698.571	O_Sp_100Mhz
689.371	O_Sp_100Mhz
673.033	O_Sp_100Mhz
826.567	O_Sp_100Mhz
720.74	O_Sp_100Mhz
820.018	O_Sp_100Mhz
728.901	O_Sp_100Mhz
773.504	O_Sp_100Mhz
