Tput(Mbps)	config
338.462	V_Sp_90Mhz
174.518	V_Sp_90Mhz
194.961	V_Sp_90Mhz
233.937	V_Sp_90Mhz
196.327	V_Sp_90Mhz
247.057	V_Sp_90Mhz
256.96	V_Sp_90Mhz
323.181	V_Sp_90Mhz
77.579	V_Sp_90Mhz
0.938	V_Sp_90Mhz
112.99	V_Sp_90Mhz
97.091	V_Sp_90Mhz
110.508	V_Sp_90Mhz
445.306	V_Sp_90Mhz
475.564	V_Sp_90Mhz
441.202	V_Sp_90Mhz
502.03	V_Sp_90Mhz
484.18	V_Sp_90Mhz
488.359	V_Sp_90Mhz
447.855	V_Sp_90Mhz
318.193	V_Sp_90Mhz
293.778	V_Sp_90Mhz
376.604	V_Sp_90Mhz
380.994	V_Sp_90Mhz
520.728	V_Sp_90Mhz
424.175	V_Sp_90Mhz
478.912	V_Sp_90Mhz
436.059	V_Sp_90Mhz
434.694	V_Sp_90Mhz
285.808	V_Sp_90Mhz
210.173	V_Sp_90Mhz
373.068	V_Sp_90Mhz
290.329	V_Sp_90Mhz
210.218	V_Sp_90Mhz
188.514	V_Sp_90Mhz
228.698	V_Sp_90Mhz
294.779	V_Sp_90Mhz
348.178	V_Sp_90Mhz
428.492	V_Sp_90Mhz
387.399	V_Sp_90Mhz
434.432	V_Sp_90Mhz
440.173	V_Sp_90Mhz
438.156	V_Sp_90Mhz
454.938	V_Sp_90Mhz
397.405	V_Sp_90Mhz
411.948	V_Sp_90Mhz
546.87	V_Sp_90Mhz
431.995	V_Sp_90Mhz
372.701	V_Sp_90Mhz
394.389	V_Sp_90Mhz
404.486	V_Sp_90Mhz
331.929	V_Sp_90Mhz
401.583	V_Sp_90Mhz
380.875	V_Sp_90Mhz
394.749	V_Sp_90Mhz
401.354	V_Sp_90Mhz
362.905	V_Sp_90Mhz
397.272	V_Sp_90Mhz
465.191	V_Sp_90Mhz
375.882	V_Sp_90Mhz
397.689	V_Sp_90Mhz
359.543	V_Sp_90Mhz
464.521	V_Sp_90Mhz
374.699	V_Sp_90Mhz
445.196	V_Sp_90Mhz
524.202	V_Sp_90Mhz
535.626	V_Sp_90Mhz
467.726	V_Sp_90Mhz
605.018	V_Sp_90Mhz
562.059	V_Sp_90Mhz
534.709	V_Sp_90Mhz
529.542	V_Sp_90Mhz
564.502	V_Sp_90Mhz
597.967	V_Sp_90Mhz
597.261	V_Sp_90Mhz
266.678	V_Sp_90Mhz
6.271	V_Sp_90Mhz
433.879	V_Sp_90Mhz
500.247	V_Sp_90Mhz
410.437	V_Sp_90Mhz
443.355	V_Sp_90Mhz
444.678	V_Sp_90Mhz
370.373	V_Sp_90Mhz
153.817	V_Sp_90Mhz
510.368	V_Sp_90Mhz
351.358	V_Sp_90Mhz
466.722	V_Sp_90Mhz
441.213	V_Sp_90Mhz
393.092	V_Sp_90Mhz
443.13	V_Sp_90Mhz
424.755	V_Sp_90Mhz
481.314	V_Sp_90Mhz
365.376	V_Sp_90Mhz
356.388	V_Sp_90Mhz
384.188	V_Sp_90Mhz
369.177	V_Sp_90Mhz
429.081	V_Sp_90Mhz
462.244	V_Sp_90Mhz
457.019	V_Sp_90Mhz
523.089	V_Sp_90Mhz
471.35	V_Sp_90Mhz
462.707	V_Sp_90Mhz
502.12	V_Sp_90Mhz
472.411	V_Sp_90Mhz
511.687	V_Sp_90Mhz
519.169	V_Sp_90Mhz
399.957	V_Sp_90Mhz
1086.258	V_Sp_90Mhz
517.781	V_Sp_90Mhz
445.883	V_Sp_90Mhz
499.34	V_Sp_90Mhz
486.077	V_Sp_90Mhz
441.382	V_Sp_90Mhz
479.669	V_Sp_90Mhz
393.528	V_Sp_90Mhz
406.501	V_Sp_90Mhz
438.475	V_Sp_90Mhz
392.799	V_Sp_90Mhz
490.682	V_Sp_90Mhz
452.286	V_Sp_90Mhz
405.937	V_Sp_90Mhz
407.349	V_Sp_90Mhz
394.518	V_Sp_90Mhz
431.956	V_Sp_90Mhz
371.84	V_Sp_90Mhz
367.873	V_Sp_90Mhz
376.255	V_Sp_90Mhz
333.777	V_Sp_90Mhz
319.022	V_Sp_90Mhz
374.696	V_Sp_90Mhz
391.937	V_Sp_90Mhz
371.78	V_Sp_90Mhz
405.155	V_Sp_90Mhz
474.05	V_Sp_90Mhz
409.446	V_Sp_90Mhz
363.301	V_Sp_90Mhz
375.135	V_Sp_90Mhz
450.766	V_Sp_90Mhz
520.944	V_Sp_90Mhz
389.516	V_Sp_90Mhz
481.052	V_Sp_90Mhz
271.227	V_Sp_90Mhz
15.487	V_Sp_90Mhz
330.714	V_Sp_90Mhz
363.921	V_Sp_90Mhz
193.878	V_Sp_90Mhz
389.688	V_Sp_90Mhz
460.857	V_Sp_90Mhz
263.999	V_Sp_90Mhz
295.895	V_Sp_90Mhz
321.871	V_Sp_90Mhz
409.893	V_Sp_90Mhz
374.853	V_Sp_90Mhz
457.605	V_Sp_90Mhz
506.38	V_Sp_90Mhz
569.482	V_Sp_90Mhz
468.208	V_Sp_90Mhz
414.53	V_Sp_90Mhz
411.29	V_Sp_90Mhz
1.283	V_Sp_90Mhz
257.998	V_Sp_90Mhz
392.362	V_Sp_90Mhz
343.749	V_Sp_90Mhz
273.691	V_Sp_90Mhz
387.044	V_Sp_90Mhz
275.47	V_Sp_90Mhz
124.954	V_Sp_90Mhz
60.438	V_Sp_90Mhz
352.492	V_Sp_90Mhz
237.292	V_Sp_90Mhz
260.037	V_Sp_90Mhz
140.855	V_Sp_90Mhz
304.823	V_Sp_90Mhz
223.666	V_Sp_90Mhz
211.028	V_Sp_90Mhz
151.031	V_Sp_90Mhz
247.809	V_Sp_90Mhz
193.135	V_Sp_90Mhz
207.382	V_Sp_90Mhz
306.981	V_Sp_90Mhz
42.675	V_Sp_90Mhz
315.71	V_Sp_90Mhz
269.813	V_Sp_90Mhz
354.992	V_Sp_90Mhz
285.395	V_Sp_90Mhz
118.325	V_Sp_90Mhz
361.593	V_Sp_90Mhz
326.501	V_Sp_90Mhz
62.794	V_Sp_90Mhz
83.641	V_Sp_90Mhz
89.157	V_Sp_90Mhz
271.387	V_Sp_90Mhz
278.035	V_Sp_90Mhz
84.613	V_Sp_90Mhz
186.61	V_Sp_90Mhz
337.104	V_Sp_90Mhz
197.651	V_Sp_90Mhz
124.873	V_Sp_90Mhz
253.449	V_Sp_90Mhz
207.105	V_Sp_90Mhz
432.27	V_Sp_90Mhz
336.862	V_Sp_90Mhz
339.158	V_Sp_90Mhz
224.01	V_Sp_90Mhz
352.56	V_Sp_90Mhz
366.286	V_Sp_90Mhz
319.227	V_Sp_90Mhz
327.275	V_Sp_90Mhz
403.305	V_Sp_90Mhz
339.901	V_Sp_90Mhz
280.663	V_Sp_90Mhz
342.075	V_Sp_90Mhz
366.559	V_Sp_90Mhz
338.38	V_Sp_90Mhz
379.508	V_Sp_90Mhz
353.31	V_Sp_90Mhz
356.49	V_Sp_90Mhz
886.178	V_Sp_90Mhz
392.419	V_Sp_90Mhz
439.297	V_Sp_90Mhz
437.51	V_Sp_90Mhz
440.352	V_Sp_90Mhz
381.596	V_Sp_90Mhz
406.587	V_Sp_90Mhz
386.688	V_Sp_90Mhz
355.574	V_Sp_90Mhz
414.856	V_Sp_90Mhz
376.331	V_Sp_90Mhz
444.867	V_Sp_90Mhz
404.565	V_Sp_90Mhz
380.006	V_Sp_90Mhz
284.035	V_Sp_90Mhz
234.467	V_Sp_90Mhz
284.704	V_Sp_90Mhz
167.666	V_Sp_90Mhz
99.11	V_Sp_90Mhz
172.277	V_Sp_90Mhz
225.175	V_Sp_90Mhz
346.399	V_Sp_90Mhz
0.0	V_Sp_90Mhz
303.337	V_Sp_90Mhz
322.489	V_Sp_90Mhz
327.158	V_Sp_90Mhz
304.647	V_Sp_90Mhz
320.651	V_Sp_90Mhz
318.181	V_Sp_90Mhz
405.17	V_Sp_90Mhz
376.47	V_Sp_90Mhz
455.302	V_Sp_90Mhz
437.806	V_Sp_90Mhz
466.466	V_Sp_90Mhz
411.594	V_Sp_90Mhz
418.578	V_Sp_90Mhz
381.267	V_Sp_90Mhz
417.348	V_Sp_90Mhz
456.54	V_Sp_90Mhz
437.74	V_Sp_90Mhz
378.761	V_Sp_90Mhz
433.163	V_Sp_90Mhz
420.331	V_Sp_90Mhz
462.611	V_Sp_90Mhz
531.759	V_Sp_90Mhz
455.791	V_Sp_90Mhz
481.667	V_Sp_90Mhz
540.966	V_Sp_90Mhz
461.464	V_Sp_90Mhz
554.408	V_Sp_90Mhz
459.502	V_Sp_90Mhz
460.203	V_Sp_90Mhz
446.023	V_Sp_90Mhz
458.25	V_Sp_90Mhz
400.696	V_Sp_90Mhz
491.242	V_Sp_90Mhz
467.756	V_Sp_90Mhz
445.774	V_Sp_90Mhz
362.69	V_Sp_90Mhz
355.959	V_Sp_90Mhz
351.585	V_Sp_90Mhz
330.066	V_Sp_90Mhz
343.372	V_Sp_90Mhz
329.854	V_Sp_90Mhz
421.386	V_Sp_90Mhz
404.837	V_Sp_90Mhz
403.937	V_Sp_90Mhz
438.502	V_Sp_90Mhz
467.61	V_Sp_90Mhz
420.975	V_Sp_90Mhz
447.01	V_Sp_90Mhz
391.955	V_Sp_90Mhz
413.701	V_Sp_90Mhz
439.513	V_Sp_90Mhz
464.34	V_Sp_90Mhz
372.234	V_Sp_90Mhz
487.907	V_Sp_90Mhz
472.725	V_Sp_90Mhz
398.079	V_Sp_90Mhz
457.482	V_Sp_90Mhz
505.45	V_Sp_90Mhz
468.47	V_Sp_90Mhz
452.513	V_Sp_90Mhz
491.006	V_Sp_90Mhz
482.372	V_Sp_90Mhz
475.19	V_Sp_90Mhz
494.792	V_Sp_90Mhz
0.48	V_Sp_90Mhz
152.74	V_Sp_90Mhz
414.957	V_Sp_90Mhz
395.191	V_Sp_90Mhz
416.633	V_Sp_90Mhz
369.432	V_Sp_90Mhz
333.674	V_Sp_90Mhz
417.181	V_Sp_90Mhz
410.596	V_Sp_90Mhz
268.523	V_Sp_90Mhz
415.513	V_Sp_90Mhz
202.997	V_Sp_90Mhz
336.451	V_Sp_90Mhz
276.564	V_Sp_90Mhz
269.907	V_Sp_90Mhz
350.909	V_Sp_90Mhz
226.984	V_Sp_90Mhz
333.776	V_Sp_90Mhz
333.939	V_Sp_90Mhz
187.621	V_Sp_90Mhz
202.028	V_Sp_90Mhz
241.963	V_Sp_90Mhz
274.598	V_Sp_90Mhz
292.046	V_Sp_90Mhz
245.117	V_Sp_90Mhz
353.533	V_Sp_90Mhz
251.614	V_Sp_90Mhz
285.794	V_Sp_90Mhz
252.073	V_Sp_90Mhz
161.762	V_Sp_90Mhz
224.342	V_Sp_90Mhz
275.348	V_Sp_90Mhz
158.214	V_Sp_90Mhz
259.902	V_Sp_90Mhz
148.125	V_Sp_90Mhz
187.343	V_Sp_90Mhz
100.454	V_Sp_90Mhz
158.39	V_Sp_90Mhz
248.841	V_Sp_90Mhz
202.695	V_Sp_90Mhz
263.038	V_Sp_90Mhz
133.634	V_Sp_90Mhz
234.598	V_Sp_90Mhz
284.629	V_Sp_90Mhz
232.514	V_Sp_90Mhz
252.929	V_Sp_90Mhz
256.526	V_Sp_90Mhz
364.38	V_Sp_90Mhz
361.337	V_Sp_90Mhz
267.446	V_Sp_90Mhz
88.149	V_Sp_90Mhz
252.388	V_Sp_90Mhz
270.683	V_Sp_90Mhz
247.8	V_Sp_90Mhz
209.84	V_Sp_90Mhz
247.788	V_Sp_90Mhz
250.117	V_Sp_90Mhz
308.612	V_Sp_90Mhz
168.861	V_Sp_90Mhz
324.003	V_Sp_90Mhz
240.887	V_Sp_90Mhz
326.182	V_Sp_90Mhz
223.35	V_Sp_90Mhz
258.873	V_Sp_90Mhz
274.937	V_Sp_90Mhz
264.819	V_Sp_90Mhz
224.829	V_Sp_90Mhz
206.552	V_Sp_90Mhz
245.388	V_Sp_90Mhz
218.813	V_Sp_90Mhz
330.542	V_Sp_90Mhz
187.889	V_Sp_90Mhz
225.96	V_Sp_90Mhz
336.176	V_Sp_90Mhz
326.725	V_Sp_90Mhz
348.66	V_Sp_90Mhz
550.062	V_Sp_90Mhz
495.853	V_Sp_90Mhz
473.701	V_Sp_90Mhz
446.117	V_Sp_90Mhz
476.494	V_Sp_90Mhz
520.711	V_Sp_90Mhz
540.857	V_Sp_90Mhz
533.213	V_Sp_90Mhz
529.739	V_Sp_90Mhz
588.934	V_Sp_90Mhz
609.045	V_Sp_90Mhz
576.296	V_Sp_90Mhz
621.117	V_Sp_90Mhz
547.818	V_Sp_90Mhz
609.715	V_Sp_90Mhz
620.969	V_Sp_90Mhz
602.12	V_Sp_90Mhz
654.515	V_Sp_90Mhz
590.595	V_Sp_90Mhz
603.96	V_Sp_90Mhz
651.608	V_Sp_90Mhz
650.691	V_Sp_90Mhz
540.955	V_Sp_90Mhz
451.391	V_Sp_90Mhz
353.974	V_Sp_90Mhz
411.54	V_Sp_90Mhz
510.056	V_Sp_90Mhz
553.741	V_Sp_90Mhz
655.28	V_Sp_90Mhz
562.809	V_Sp_90Mhz
