Tput(Mbps)	config
852.231	V_It_90Mhz
856.651	V_It_90Mhz
812.395	V_It_90Mhz
714.652	V_It_90Mhz
795.865	V_It_90Mhz
811.173	V_It_90Mhz
973.343	V_It_90Mhz
873.619	V_It_90Mhz
916.834	V_It_90Mhz
857.179	V_It_90Mhz
898.616	V_It_90Mhz
787.236	V_It_90Mhz
899.775	V_It_90Mhz
843.549	V_It_90Mhz
891.643	V_It_90Mhz
940.612	V_It_90Mhz
850.983	V_It_90Mhz
818.549	V_It_90Mhz
736.22	V_It_90Mhz
884.098	V_It_90Mhz
948.654	V_It_90Mhz
789.175	V_It_90Mhz
900.887	V_It_90Mhz
800.996	V_It_90Mhz
908.133	V_It_90Mhz
799.741	V_It_90Mhz
908.251	V_It_90Mhz
916.805	V_It_90Mhz
904.434	V_It_90Mhz
916.579	V_It_90Mhz
855.616	V_It_90Mhz
876.236	V_It_90Mhz
862.028	V_It_90Mhz
886.561	V_It_90Mhz
734.674	V_It_90Mhz
841.128	V_It_90Mhz
853.264	V_It_90Mhz
817.287	V_It_90Mhz
896.831	V_It_90Mhz
864.011	V_It_90Mhz
809.569	V_It_90Mhz
813.787	V_It_90Mhz
808.179	V_It_90Mhz
580.838	V_It_90Mhz
890.902	V_It_90Mhz
869.585	V_It_90Mhz
943.228	V_It_90Mhz
910.319	V_It_90Mhz
794.078	V_It_90Mhz
839.879	V_It_90Mhz
851.445	V_It_90Mhz
868.264	V_It_90Mhz
863.231	V_It_90Mhz
880.987	V_It_90Mhz
868.9	V_It_90Mhz
622.457	V_It_90Mhz
626.457	V_It_90Mhz
864.494	V_It_90Mhz
890.71	V_It_90Mhz
982.893	V_It_90Mhz
897.636	V_It_90Mhz
777.131	V_It_90Mhz
870.007	V_It_90Mhz
871.496	V_It_90Mhz
829.749	V_It_90Mhz
840.433	V_It_90Mhz
866.264	V_It_90Mhz
871.823	V_It_90Mhz
898.277	V_It_90Mhz
814.367	V_It_90Mhz
854.556	V_It_90Mhz
851.662	V_It_90Mhz
837.132	V_It_90Mhz
841.867	V_It_90Mhz
786.665	V_It_90Mhz
841.302	V_It_90Mhz
867.467	V_It_90Mhz
853.782	V_It_90Mhz
864.399	V_It_90Mhz
893.632	V_It_90Mhz
850.091	V_It_90Mhz
850.785	V_It_90Mhz
880.938	V_It_90Mhz
860.301	V_It_90Mhz
855.219	V_It_90Mhz
841.658	V_It_90Mhz
862.646	V_It_90Mhz
916.965	V_It_90Mhz
830.002	V_It_90Mhz
874.962	V_It_90Mhz
941.479	V_It_90Mhz
864.397	V_It_90Mhz
864.951	V_It_90Mhz
913.071	V_It_90Mhz
570.618	V_It_90Mhz
681.66	V_It_90Mhz
640.891	V_It_90Mhz
585.94	V_It_90Mhz
646.477	V_It_90Mhz
595.095	V_It_90Mhz
643.612	V_It_90Mhz
722.74	V_It_90Mhz
738.355	V_It_90Mhz
831.604	V_It_90Mhz
843.881	V_It_90Mhz
818.721	V_It_90Mhz
891.379	V_It_90Mhz
929.278	V_It_90Mhz
990.017	V_It_90Mhz
877.933	V_It_90Mhz
